Resort,Country,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Snow cannons,Total lifts,Lift capacity,Snowparks,Nightskiing,latitude,longitude,Snow
Scuol-Motta Naluns,Switzerland,50,December - April,2785,1250,27,32,11,70,136,13,18000,Yes,No,46.875,10.375,59.84222222222221
Passo San Pellegrino-?Falcade,Italy,47,November - April,2513,1190,20,38,8,66,0,17,24030,Yes,No,46.375,11.875,75.03
Piau Engaly,France,37,November - April,2560,1420,35,22,8,65,40,10,13615,Yes,No,42.875,0.125,64.04222222222222
Flumserberg,Switzerland,51,November - April,665,425,10,38,17,65,0,21,30867,Yes,Yes,47.125,9.375,63.583749999999995
Super Sauze,France,30,December - April,2450,1400,35,20,10,65,100,22,17948,Yes,No,44.375,6.625,49.922000000000004
Bukovel,Ukraine,32,November - May,1372,890,26,28,11,65,0,18,33839,Yes,Yes,48.375,24.375,79.46166666666666
La Norma,France,29,December - April,2750,1350,17,43,5,65,126,13,13290,Yes,No,45.125,6.625,57.26111111111111
Pal-?Arinsal-La Massana-Vallnord-,Andorra,37,December - April,1550,1230,31,24,8,63,296,31,37400,Yes,No,42.625,1.375,75.30857142857143
Arabba,Italy,49,December - April,2478,1602,32,22,8,62,620,23,43973,Yes,No,46.375,11.875,75.03
Wildkogel-Neukirchen-?Bramberg,Austria,44,December - April,2150,820,28,25,9,62,335,24,27388,Yes,Yes,47.375,12.375,68.55375
Hintertux Glacier,Austria,52,Year-round,3250,1500,14,35,11,60,260,22,38852,Yes,No,47.125,11.625,68.33111111111111
Disentis 3000,Switzerland,49,December - April,2833,1227,20,30,10,60,4,13,10990,Yes,No,46.625,8.875,73.33857142857143
Belalp-Blatten,Switzerland,49,December - April,3118,1322,20,20,20,60,0,13,13640,Yes,No,46.375,7.875,65.78272727272727
San Martino di Castrozza,Italy,44,November - April,2357,1404,16,32,12,60,150,24,29859,Yes,Yes,46.375,11.875,75.03
Meiringen-Hasliberg,Switzerland,50,December - April,1055,600,20,34,6,60,75,15,16381,No,Yes,46.625,8.125,51.37833333333333
Toggenburg-Wildhaus-?Unterwasser-?Alt St. Johann,Switzerland,52,December - April,2262,900,10,45,5,60,55,25,19956,Yes,Yes,47.125,9.375,63.583749999999995
Alpe di Siusi-Seiser Alm-,Italy,54,December - April,1669,1000,14,45,1,60,70,27,35624,Yes,No,46.625,11.625,40.392
